rank,finalWorth (million dollars),category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,lastName,firstName,title,birthYear,birthMonth,birthDay
1,"$211,000.00",Fashion & Retail,Bernard Arnault & family,74,France,Paris,LVMH,Fashion & Retail,France,FALSE,U,M,Arnault,Bernard,Chairman and CEO,1949,3,5
2,"$180,000.00",Automotive,Elon Musk,51,United States,Austin,"Tesla, SpaceX",Automotive,United States,TRUE,D,M,Musk,Elon,CEO,1971,6,28
3,"$114,000.00",Technology,Jeff Bezos,59,United States,Medina,Amazon,Technology,United States,TRUE,D,M,Bezos,Jeff,Chairman and Founder,1964,1,12
4,"$107,000.00",Technology,Larry Ellison,78,United States,Lanai,Oracle,Technology,United States,TRUE,U,M,Ellison,Larry,CTO and Founder,1944,8,17
5,"$106,000.00",Finance & Investments,Warren Buffett,92,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,TRUE,D,M,Buffett,Warren,CEO,1930,8,30
6,"$104,000.00",Technology,Bill Gates,67,United States,Medina,Microsoft,Technology,United States,TRUE,D,M,Gates,Bill,Cochair,1955,10,28
7,"$94,500.00",Media & Entertainment,Michael Bloomberg,81,United States,New York,Bloomberg LP,Media & Entertainment,United States,TRUE,U,M,Bloomberg,Michael,CEO,1942,2,14
8,"$93,000.00",Telecom,Carlos Slim Helu & family,83,Mexico,Mexico City,Telecom,Telecom,Mexico,TRUE,U,M,Slim Helu,Carlos,Honorary Chairman,1940,1,28
9,"$83,400.00",Diversified,Mukesh Ambani,65,India,Mumbai,Diversified,Diversified,India,FALSE,D,M,Ambani,Mukesh,Founder and Chairman,1957,4,19
10,"$80,700.00",Technology,Steve Ballmer,67,United States,Hunts Point,Microsoft,Technology,United States,TRUE,D,M,Ballmer,Steve,Owner,1956,3,24
11,"$80,500.00",Fashion & Retail,Francoise Bettencourt Meyers & family,69,France,Paris,L'Oréal,Fashion & Retail,France,FALSE,U,F,Bettencourt Meyers,Francoise,,1953,7,10
12,"$79,200.00",Technology,Larry Page,50,United States,Palo Alto,Google,Technology,United States,TRUE,D,M,Page,Larry,Cofounder and board member,1973,3,26
13,"$77,300.00",Fashion & Retail,Amancio Ortega,87,Spain,La Coruna,Zara,Fashion & Retail,Spain,TRUE,U,M,Ortega,Amancio,,1936,3,28
14,"$76,000.00",Technology,Sergey Brin,49,United States,Los Altos,Google,Technology,United States,TRUE,D,M,Brin,Sergey,Cofounder and board member,1973,8,21
15,"$68,000.00",Food & Beverage,Zhong Shanshan,68,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,TRUE,U,M,Zhong,Shanshan,,1954,12,1
16,"$64,400.00",Technology,Mark Zuckerberg,38,United States,Palo Alto,Facebook,Technology,United States,TRUE,D,M,Zuckerberg,Mark,Cofounder,1984,5,14
17,"$59,000.00",Diversified,Charles Koch & family,87,United States,Wichita,Koch Industries,Diversified,United States,FALSE,D,M,Koch,Charles,Chairman and CEO,1935,11,1
17,"$59,000.00",Diversified,Julia Koch & family,60,United States,New York,Koch Industries,Diversified,United States,FALSE,D,F,Koch,Julia,,1962,4,12
19,"$58,800.00",Fashion & Retail,Jim Walton,74,United States,Bentonville,Walmart,Fashion & Retail,United States,FALSE,D,M,Walton,Jim,Chairman and CEO,1948,6,7
20,"$57,600.00",Fashion & Retail,Rob Walton & family,78,United States,Bentonville,Walmart,Fashion & Retail,United States,FALSE,D,M,Walton,Rob,Director,1944,10,27
21,"$56,700.00",Fashion & Retail,Alice Walton,73,United States,Fort Worth,Walmart,Fashion & Retail,United States,FALSE,D,F,Walton,Alice,Philanthropist,1949,10,7
22,"$54,400.00",Media & Entertainment,David Thomson & family,65,Canada,Toronto,Media,Media & Entertainment,Canada,FALSE,U,M,Thomson,David,Chairman,1957,6,12
23,"$50,100.00",Technology,Michael Dell,58,United States,Austin,Dell Technologies,Technology,United States,TRUE,D,M,Dell,Michael,Chairman and CEO,1965,2,23
24,"$47,200.00",Diversified,Gautam Adani,60,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,TRUE,D,M,Adani,Gautam,,1962,6,24
25,"$45,100.00",Fashion & Retail,Phil Knight & family,85,United States,Hillsboro,Nike,Fashion & Retail,United States,TRUE,D,M,Knight,Phil,Chairman,1938,2,24
26,"$45,000.00",Technology,Zhang Yiming,39,China,Beijing,TikTok,Technology,China,TRUE,D,M,Zhang,Yiming,Founder,1984,1,1
27,"$42,900.00",Fashion & Retail,Dieter Schwarz,83,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,FALSE,D,M,Schwarz,Dieter,,1939,9,24
28,"$40,100.00",Fashion & Retail,François Pinault & family,86,France,Paris,Luxury goods,Fashion & Retail,France,TRUE,D,M,Pinault,François,,1936,8,21
29,"$39,100.00",Logistics,Klaus-Michael Kuehne,85,Switzerland,Schindellegi,Shipping,Logistics,Germany,FALSE,U,M,Kuehne,Klaus-Michael,,1937,6,2
30,"$38,900.00",Food & Beverage,Giovanni Ferrero,58,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,FALSE,U,M,Ferrero,Giovanni,,1964,9,21
31,"$38,300.00",Food & Beverage,Jacqueline Mars,83,United States,The Plains,"Candy, pet food",Food & Beverage,United States,FALSE,U,F,Mars,Jacqueline,,1939,10,10
31,"$38,300.00",Food & Beverage,John Mars,87,United States,Jackson,"Candy, pet food",Food & Beverage,United States,FALSE,U,M,Mars,John,,1935,10,15
33,"$38,000.00",Diversified,Li Ka-shing,94,Hong Kong,,Diversified,Diversified,Hong Kong,TRUE,U,M,Li,Ka-shing,Senior Advisor,1928,6,13
34,"$35,300.00",Technology,Ma Huateng,51,China,Shenzhen,Internet media,Technology,China,TRUE,D,M,Ma,Huateng,Chairman and CEO,1971,10,29
35,"$35,000.00",Gambling & Casinos,Miriam Adelson & family,77,United States,Las Vegas,Casinos,Gambling & Casinos,United States,FALSE,U,F,Adelson,Miriam,,1945,10,10
35,"$35,000.00",Finance & Investments,Ken Griffin,54,United States,Miami,Hedge funds,Finance & Investments,United States,TRUE,U,M,Griffin,Ken,Founder & CEO,1968,10,15
37,"$34,700.00",Food & Beverage,Mark Mateschitz,30,Austria,Salzburg,Red Bull,Food & Beverage,Austria,FALSE,N,M,Mateschitz,Mark,,1992,5,7
38,"$33,400.00",Automotive,Robin Zeng,54,China,Ningde,Batteries,Automotive,Hong Kong,TRUE,D,M,Zeng,Robin,,1969,1,1
39,"$32,600.00",Fashion & Retail,Tadashi Yanai & family,74,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,TRUE,U,M,Yanai,Tadashi,,1949,2,7
40,"$32,100.00",Diversified,Len Blavatnik,65,United Kingdom,London,"Music, chemicals",Diversified,United States,TRUE,D,M,Blavatnik,Len,,1957,6,1
41,"$31,600.00",Fashion & Retail,Alain Wertheimer,74,United States,New York,Chanel,Fashion & Retail,France,FALSE,U,M,Wertheimer,Alain,,1948,8,28
41,"$31,600.00",Fashion & Retail,Gerard Wertheimer,72,United States,New York,Chanel,Fashion & Retail,France,FALSE,U,M,Wertheimer,Gerard,,1951,1,9
43,"$31,200.00",Logistics,Gianluigi Aponte,82,Switzerland,Geneva,Shipping,Logistics,Switzerland,TRUE,Split Family Fortune,M,Aponte,Gianluigi,,1940,6,27
43,"$31,200.00",Logistics,Rafaela Aponte-Diamant,78,Switzerland,Geneva,Shipping,Logistics,Switzerland,TRUE,Split Family Fortune,F,Aponte-Diamant,Rafaela,,1945,3,26
45,"$30,200.00",Technology,Colin Zheng Huang,43,China,Shanghai,E-commerce,Technology,China,TRUE,U,M,Huang,Colin Zheng,,1980,2,2
46,"$29,700.00",Manufacturing,Reinhold Wuerth & family,87,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,TRUE,U,M,Wuerth,Reinhold,,1935,4,20
47,"$29,500.00",Real Estate,Lee Shau Kee,95,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,TRUE,D,M,Lee,Shau Kee,,1928,1,29
48,"$28,500.00",Finance & Investments,Jeff Yass,64,United States,Haverford,"Trading, investments",Finance & Investments,United States,TRUE,U,M,Yass,Jeff,,1958,7,17
49,"$28,100.00",Finance & Investments,Jim Simons,84,United States,East Setauket,Hedge funds,Finance & Investments,United States,TRUE,D,M,Simons,Jim,Founder,1938,4,25
50,"$27,800.00",Finance & Investments,Stephen Schwarzman,76,United States,New York,Investments,Finance & Investments,United States,TRUE,D,M,Schwarzman,Stephen,Chairman and CEO,1947,2,14
51,"$27,400.00",Automotive,Susanne Klatten,60,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,FALSE,U,F,Klatten,Susanne,,1962,4,28
52,"$27,000.00",Metals & Mining,Gina Rinehart,69,Australia,Perth,Mining,Metals & Mining,Australia,FALSE,D,F,Rinehart,Gina,Executive Chairman,1954,2,9
53,"$26,700.00",Technology,William Ding,51,China,Hangzhou,Online games,Technology,China,TRUE,U,M,Ding,William,,1971,10,1
54,"$26,600.00",Metals & Mining,Germán Larrea Mota Velasco & family,69,Mexico,Mexico City,Mining,Metals & Mining,Mexico,FALSE,D,M,Larrea Mota Velasco,Germán,,1953,10,26
55,"$25,600.00",Technology,Shiv Nadar,77,India,Delhi,software services,Technology,India,TRUE,D,M,Nadar,Shiv,,1945,7,18
56,"$25,500.00",Energy,Low Tuck Kwong,74,Indonesia,Jakarta,Coal,Energy,Indonesia,TRUE,U,M,Low Tuck,Kwong,,1948,4,17
57,"$25,300.00",Finance & Investments,Thomas Peterffy,78,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,TRUE,U,M,Peterffy,Thomas,,1944,9,30
58,"$25,200.00",Metals & Mining,Andrey Melnichenko & family,51,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,TRUE,U,M,Melnichenko,Andrey,,1972,3,8
59,"$24,600.00",Automotive,Stefan Quandt,56,Germany,Frankfurt,BMW,Automotive,Germany,FALSE,U,M,Quandt,Stefan,,1966,5,9
60,"$24,400.00",Technology,MacKenzie Scott,52,United States,Seattle,Amazon,Technology,United States,FALSE,D,F,Scott,MacKenzie,Philanthropist,1970,4,7
61,"$24,200.00",Finance & Investments,R. Budi Hartono,82,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,FALSE,U,M,Hartono,R. Budi,,1941,1,1
62,"$23,700.00",Metals & Mining,Vladimir Potanin,62,Russia,Moscow,Metals,Metals & Mining,Russia,TRUE,U,M,Potanin,Vladimir,,1961,1,3
63,"$23,500.00",Technology,Jack Ma,58,China,Hangzhou,E-commerce,Technology,China,TRUE,U,M,Ma,Jack,,1964,9,10
64,"$23,400.00",Manufacturing,He Xiangjian & family,80,China,Foshan,Home appliances,Manufacturing,China,TRUE,D,M,He,Xiangjian,,1942,8,11
